last_edited,title,url
" This page was last edited on 17 July 2022, at 10:41",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 4 August 2022, at 21:30",The Following,https://en.wikipedia.org/wiki/The_Following
" This page was last edited on 3 August 2022, at 09:20",Taking Chance,https://en.wikipedia.org/wiki/Taking_Chance
" This page was last edited on 12 August 2022, at 10:47", (film),https://en.wikipedia.org/wiki/Patriots_Day_(film)
" This page was last edited on 17 August 2022, at 11:38",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 11 August 2022, at 02:39",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 9 August 2022, at 06:34", (film),https://en.wikipedia.org/wiki/Frost/Nixon_(film)
" This page was last edited on 21 August 2022, at 17:35",Hollow Man,https://en.wikipedia.org/wiki/Hollow_Man
" This page was last edited on 21 August 2022, at 18:35",Fox Broadcasting Company,https://en.wikipedia.org/wiki/Fox_Broadcasting_Company
" This page was last edited on 3 August 2022, at 08:46",Stir of Echoes,https://en.wikipedia.org/wiki/Stir_of_Echoes
" This page was last edited on 7 August 2022, at 01:19", (film),https://en.wikipedia.org/wiki/Wild_Things_(film)
" This page was last edited on 2 July 2022, at 22:09", (film),https://en.wikipedia.org/wiki/Black_Mass_(film)
" This page was last edited on 4 August 2022, at 08:26",The River Wild,https://en.wikipedia.org/wiki/The_River_Wild
" This page was last edited on 16 August 2022, at 11:39",HBO,https://en.wikipedia.org/wiki/HBO
" This page was last edited on 20 July 2022, at 17:37", (1980 film),https://en.wikipedia.org/wiki/Friday_the_13th_(1980_film)
" This page was last edited on 7 August 2022, at 18:54",Flatliners,https://en.wikipedia.org/wiki/Flatliners
" This page was last edited on 21 August 2022, at 05:52",Access Hollywood,https://en.wikipedia.org/wiki/Access_Hollywood
" This page was last edited on 28 January 2022, at 05:07",The Austin Chronicle,https://en.wikipedia.org/wiki/The_Austin_Chronicle
" This page was last edited on 8 July 2022, at 05:50",Anthony Andrews,https://en.wikipedia.org/wiki/Anthony_Andrews
" This page was last edited on 20 August 2022, at 18:26",The Slab Boys Trilogy,https://en.wikipedia.org/wiki/Slab_Boys
" This page was last edited on 15 July 2022, at 11:56",Internet Broadway Database,https://en.wikipedia.org/wiki/Internet_Broadway_Database
" This page was last edited on 21 August 2022, at 17:35",Will Smith,https://en.wikipedia.org/wiki/Will_Smith
